year,CusPct,did,Industry,Lev,HighTech_1,quality,Size,ROA,Age,amount,Emply,hfd5,ln_Cus,IndustryLernerIndex,upstream,treated,policy,_quality,_amount,_did,lnlab,light,ind_str,sc,GTFP,SpatialDistance,GIE,did_2,iv,id,t_amount,t_quality,t_GIE
2013,42,0,C34,1.078267,1,0,22.28335,-0.0293043,2.772589,0,6.729824,0.079251,19.77851,0.068376,1,1,2017,0,0,0,4.286854,9.0485183,237.98,0,0.9130792,15.971317,0,0,7.554119,210,0,0,0
2014,,0,C34,1.243152,1,0,22.97752,0.0040012,2.833213,0,6.618739,0.28057,20.54718,0.075919,1,1,2017,0,0,0,4.791274,11.857786,238.35,0,0.91787307,12.756349,0,0,7.437435,210,0,0,0
2015,61.39,0,D44,1.225973,0,0,22.95991,-0.0130278,2.890372,0,6.530878,0.281289,20.42197,0.276348,1,1,2017,0,0,0,4.789118,11.460198,239.89,0,0.95172933,12.756349,0,1,7.489593,210,0,0,0
2009,3.4,0,C36,1.47878,1,0,21.50744,0.0127098,2.564949,0,7.001245,0.09035,18.12539,0.052998,0,1,2012,0,0,0,4.955272,4.7874325,237.07,1,0.80043093,8.081595,0,0,7.066385,211,0,0,0
2010,4.31,0,C36,1.450841,1,0,21.65424,0.0324422,2.639057,0,8.025517,0.09022,18.72612,0.085479,0,1,2017,0,0,0,4.94725,7.1792749,236.26,1,0.811024,8.081595,0,0,7.127864,211,0,0,0
2011,6.23,0,C36,1.589206,1,0,22.00027,0.0346681,2.70805,0,7.724888,0.070053,19.26482,0.078588,0,1,2017,0,0,0,5.296079,7.5421823,233.51,1,0.8500944,8.081089,0,0,7.155432,211,0,0,0
2012,,0,C36,1.499622,1,0.5,22.1463,0.0255989,2.772589,0,8.143517,0.076112,20.25978,0.060215,1,1,2017,0.6555555,0,0,5.387269,7.1052815,233.65,1,0.85585067,8.081089,0,0,7.226391,211,0,0,0
2013,,0,C36,1.398343,1,0.53,22.21329,-0.0091492,2.833213,0,8.398185,0.077323,19.9231,0.051481,1,1,2017,0.8,0,0,5.607639,9.0032247,234.13,1,0.905828,8.081089,0,0,7.213051,211,0,0,0
2011,,0,C15,3.399813,0,0,22.71058,0.2872449,2.70805,0,8.505526,0.256805,17.35252,0.362646,0,0,,0,0,0,5.145547,10.053964,227.57,1,0.84827573,693.49716,,0,7.467068,212,0,0,
2012,0.63,1,C15,3.936296,0,0,22.81798,0.2206264,2.772589,0,8.569407,0.257557,17.39351,0.411549,0,1,2012,0,0,1,5.18117,10.314096,229.17,1,0.8807168,693.49716,0,1,7.588014,212,0,0,0
2013,0.9,1,C15,4.907374,0,0,22.8029,0.1300102,2.833213,0,8.557183,0.256678,17.4673,0.377983,0,1,2010,0,0,1,5.228027,11.66702,230.22,1,0.9206736,1789.8554,0,1,7.51852,212,0,0,0
2014,0.88,1,C15,4.668437,0,0,22.91069,0.1156109,2.890372,0,8.490438,0.256065,17.41586,0.350911,0,1,2010,0,0,1,5.311625,9.6443171,232.8,1,0.94062133,1802.2326,0,1,7.508192,212,0,0,0
