stkcd,year,city,DEPTH,EXTEND,DIG,DID,policy1,policy2,CRE,IA,UD,RES_TOPSIS,FAG,LE,OPEN,GOV,DIS,DEVELOP,ADAPT,RECOVER,RESIS,RES,AGE,PROFIT,BOARD,TOP5,RD,SIZE,SDS,CSP,CSC,instrument1,instrument2,IPP,AGE2,DIDtime
1735,2019,82,0.580255,0.82,0,1,0,0,0.2,0.02,0.0972,0.4402409,0.25,7.2288453,6.60172,0.29,4.446837,0.4903926,0.5103766,0.3671443,0.4149458,0.450805,4,9.32,9,0.84,0.7,22.66,1,0.5,1,43,0,0,16,1
1735,2020,82,0.5971467,0.82,0,1,0,0,0.14,0.02,0.1143,0.4424463,1.2,8.5485726,6.68912,0.3,4.446837,0.555558,0.5185716,0.3655962,0.4155177,0.4504376,5,9.57,9,0.89,1.14,22.72,1,0.5,1,46,0,0,25,1
1735,2021,82,0.6391863,0.83,0,1,0,0,0.13,0.01,0.1131,0.442565,1.29,10.109404,6.77139,0.25,4.446837,0.5479006,0.5333125,0.345045,0.4119539,0.4559696,6,13.87,9,0.86,1.15,22.88,1,0.5,1,55,0,0,36,1
1735,2022,82,0.6925926,0.71,0,1,0,0,0.13,0.01,0.1194,0.4424613,1.72,11.124579,6.85879,0.25,4.446837,0.5353953,0.5328141,0.3434632,0.3969765,0.4692146,7,17.08,9,0.88,1.39,23.53,1,0.5,1,53,0,0,49,1
1736,2015,84,0,0,0,0,0,0,0.06,0.11,0.1262,0.5185261,1.66,4.7607015,6.31379,0.27,4.446837,0.3643757,0.3202317,0.31082,0.3050926,0.3999186,0,0.71,9,0.33,1.39,20.75,1,0.5,1,15,0,0,0,0
1736,2016,84,0,0,0,0,0,0,0.04,0.1,0.1317,0.5323567,1.79,4.9700813,6.37035,0.25,4.446837,0.3882551,0.3211884,0.3050268,0.3032856,0.4007094,1,0.74,9,0.33,1.39,20.8,1,0.5,1,18,0,0,1,0
1736,2017,84,0,0,0,0,0,0,0.05,0.09,0.1948,0.5589251,1.98,8.3582273,7.44493,0.33,4.446837,0.3869288,0.3266718,0.2954224,0.3403,0.3762495,2,0.83,9,0.34,1.39,20.9,1,0.5,1,17,0,0,4,0
1736,2018,84,0,0,0,0,0,0,0.05,0.08,0.2005,0.5702623,2.07,8.5358829,7.44493,0.33,4.446837,0.3940269,0.3432029,0.3020952,0.3406129,0.3657284,3,0.92,9,0.34,1.39,20.99,1,0.5,1,11,0,0,9,0
1736,2019,84,0.4241251,0.07,0,0,0,0,0.19,0.08,0.2059,0.62437,1.56,10.401267,7.47063,0.3,4.446837,0.406162,0.3364392,0.2994858,0.3313778,0.3733875,4,1.17,9,0.34,1.39,21.09,1,0.5,1,16,0,0,16,0
1736,2020,84,0.4241251,0.07,0,0,0,0,0.17,0.08,0.203,0.6271999,1.58,11.720994,7.52719,0.3,4.446837,0.4167926,0.3262674,0.3391686,0.3186499,0.3730231,5,0.55,9,0.34,1.39,21.08,1,0.5,1,10,0,0,25,0
